Total method loc: 10188
Total method aloc: 13870.30
Code compression rate: 26.55%
==============================
method	sloc	dloc	ncalls
com/android/alarmclock/AnalogAppWidgetProvider.onReceive:(Landroid/content/Context;Landroid/content/Intent;)V	7	4.50	1
com/android/alarmclock/DigitalAppWidgetProvider.<init>:()V	0	0.00	1
com/android/alarmclock/DigitalAppWidgetProvider.getOnQuarterHourPendingIntent:(Landroid/content/Context;)Landroid/app/PendingIntent	3	2.50	2
com/android/alarmclock/DigitalAppWidgetProvider.getComponentName:(Landroid/content/Context;)Landroid/content/ComponentName	3	2.50	3
com/android/alarmclock/DigitalAppWidgetProvider.cancelAlarmOnQuarterHour:(Landroid/content/Context;)V	5	2.75	2
com/android/alarmclock/DigitalAppWidgetProvider.onAppWidgetOptionsChanged:(Landroid/content/Context;Landroid/appwidget/AppWidgetManager;I;Landroid/os/Bundle;)V	3	3.00	1
com/android/alarmclock/DigitalAppWidgetProvider.onDisabled:(Landroid/content/Context;)V	2	2.00	1
com/android/alarmclock/DigitalAppWidgetProvider.onEnabled:(Landroid/content/Context;)V	2	2.00	1
com/android/alarmclock/DigitalAppWidgetProvider.onReceive:(Landroid/content/Context;Landroid/content/Intent;)V	33	13.63	1
com/android/alarmclock/DigitalAppWidgetProvider.onUpdate:(Landroid/content/Context;Landroid/appwidget/AppWidgetManager;[I;)V	7	5.50	1
com/android/alarmclock/DigitalAppWidgetProvider.refreshAlarm:(Landroid/content/Context;Landroid/widget/RemoteViews;)V	10	6.00	3
com/android/alarmclock/DigitalAppWidgetProvider.startAlarmOnQuarterHour:(Landroid/content/Context;)V	10	4.75	3
com/android/alarmclock/DigitalAppWidgetProvider.updateClock:(Landroid/content/Context;Landroid/appwidget/AppWidgetManager;I;F;)V	17	16.50	2
com/android/alarmclock/DigitalAppWidgetService.onGetViewFactory:(Landroid/content/Intent;)Landroid/widget/RemoteViewsService$RemoteViewsFactory	1	1.00	1
com/android/alarmclock/DigitalWidgetViewsFactory$RemoteWorldClockAdapter.<init>:(Landroid/content/Context;)V	3	3.00	1
com/android/alarmclock/DigitalWidgetViewsFactory$RemoteWorldClockAdapter.getViewAt:(I;)Landroid/widget/RemoteViews	15	12.50	1
com/android/alarmclock/DigitalWidgetViewsFactory$RemoteWorldClockAdapter.hideView:(Landroid/widget/RemoteViews;I;I;I;)V	3	3.00	1
