Total method loc: 8777.0
Total method aloc: 12259.75
Code compression rate: 28.4080017944901%
==============================
method	sloc	dloc	ncalls
com/github/mobile/accounts/AccountAuthenticator.<init>:(Landroid/content/Context;)V	2	2.00	1
com/github/mobile/accounts/AccountAuthenticator.createLoginIntent:(Landroid/accounts/AccountAuthenticatorResponse;)Landroid/content/Intent	4	4.00	2
com/github/mobile/accounts/AccountAuthenticator.addAccount:(Landroid/accounts/AccountAuthenticatorResponse;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle	6	6.00	1
com/github/mobile/accounts/AccountAuthenticator.confirmCredentials:(Landroid/accounts/AccountAuthenticatorResponse;Landroid/accounts/Account;Landroid/os/Bundle;)Landroid/os/Bundle	1	1.00	1
com/github/mobile/accounts/AccountAuthenticator.editProperties:(Landroid/accounts/AccountAuthenticatorResponse;Ljava/lang/String;)Landroid/os/Bundle	1	1.00	1
com/github/mobile/accounts/AccountAuthenticator.getAuthToken:(Landroid/accounts/AccountAuthenticatorResponse;Landroid/accounts/Account;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle	28	23.50	1
com/github/mobile/accounts/AccountAuthenticator.hasFeatures:(Landroid/accounts/AccountAuthenticatorResponse;Landroid/accounts/Account;[Ljava/lang/String;)Landroid/os/Bundle	3	3.00	1
com/github/mobile/accounts/AccountAuthenticator.updateCredentials:(Landroid/accounts/AccountAuthenticatorResponse;Landroid/accounts/Account;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle	8	7.50	1
com/github/mobile/accounts/AccountAuthenticator.isValidAuthorization:(Lorg/eclipse/egit/github/core/Authorization;Ljava/util/List;)Z	8	6.50	1
com/github/mobile/accounts/AccountAuthenticator.createAuthorization:(Lorg/eclipse/egit/github/core/service/OAuthService;)Ljava/lang/String	6	6.00	3
com/github/mobile/accounts/AccountAuthenticator.getAuthTokenLabel:(Ljava/lang/String;)Ljava/lang/String	4	3.00	1
com/github/mobile/accounts/AccountAuthenticator.getAuthorization:(Lorg/eclipse/egit/github/core/service/OAuthService;)Ljava/lang/String	4	2.75	1
com/github/mobile/accounts/AccountAuthenticatorService.onBind:(Landroid/content/Intent;)Landroid/os/IBinder	1	1.00	1
com/github/mobile/accounts/AccountAuthenticatorService.getAuthenticator:()Lcom/github/mobile/accounts/AccountAuthenticator	3	2.50	1
com/github/mobile/accounts/AccountClient.<init>:(Lcom/google/inject/Provider;)V	2	2.00	1
com/github/mobile/accounts/AccountClient.configureRequest:(Ljava/net/HttpURLConnection;)Ljava/net/HttpURLConnection	9	7.50	1
com/github/mobile/accounts/AccountScope.getScopedObjectMap:(Lcom/google/inject/Key;)Ljava/util/Map	9	7.00	1
com/github/mobile/accounts/AccountScope.module:()Lcom/google/inject/Module	5	5.00	1
com/github/mobile/accounts/AccountScope$.configure:()V	3	3.00	1
com/github/mobile/accounts/AccountScope.enterWith:(Landroid/accounts/Account;Landroid/accounts/AccountManager;)V	1	1.00	3
com/github/mobile/accounts/AccountScope.enterWith:(Lcom/github/mobile/accounts/GitHubAccount;)V	3	2.50	1
com/github/mobile/accounts/AccountScope.exit:()V	3	2.50	3
com/github/mobile/accounts/AccountUtils.getAccount:(Landroid/accounts/AccountManager;Landroid/app/Activity;)Landroid/accounts/Account	35	29.50	2
com/github/mobile/accounts/AccountUtils$.run:()V	1	1.00	1
com/github/mobile/accounts/AccountUtils.getAccount:(Landroid/content/Context;)Landroid/accounts/Account	2	2.00	1
com/github/mobile/accounts/AccountUtils.getPasswordAccessibleAccount:(Landroid/content/Context;)Landroid/accounts/Account	9	8.50	1
com/github/mobile/accounts/AccountUtils.getAccounts:(Landroid/accounts/AccountManager;)[Landroid/accounts/Account	6	5.00	1
com/github/mobile/accounts/AccountUtils.getPasswordAccessibleAccounts:(Landroid/accounts/AccountManager;[Landroid/accounts/Account;)[Landroid/accounts/Account	11	8.00	2
com/github/mobile/accounts/AccountUtils.hasAuthenticator:(Landroid/accounts/AccountManager;)Z	9	4.00	2
com/github/mobile/accounts/AccountUtils.isUnauthorized:(Ljava/lang/Exception;)Z	17	12.75	3
com/github/mobile/accounts/AccountUtils.isUser:(Landroid/content/Context;Lorg/eclipse/egit/github/core/User;)Z	6	5.00	4
com/github/mobile/accounts/AccountUtils.updateAccount:(Landroid/accounts/Account;Landroid/app/Activity;)Z	26	25.00	2
com/github/mobile/accounts/AccountUtils$.run:()V	1	1.00	1
com/github/mobile/accounts/AccountUtils.getLogin:(Landroid/content/Context;)Ljava/lang/String	2	2.00	6
com/github/mobile/accounts/AccountUtils.showConflictMessage:(Landroid/app/Activity;)V	12	12.00	2
com/github/mobile/accounts/AccountUtils$.onCancel:(Landroid/content/DialogInterface;)V	1	1.00	1
com/github/mobile/accounts/AccountUtils$.onClick:(Landroid/content/DialogInterface;I;)V	1	1.00	1
com/github/mobile/accounts/AuthenticatedUserLoader.<init>:(Landroid/content/Context;)V	2	2.00	3
com/github/mobile/accounts/AuthenticatedUserLoader.loadInBackground:()LD	17	17.00	1
com/github/mobile/accounts/AuthenticatedUserTask.<init>:(Landroid/content/Context;)V	1	1.00	17
com/github/mobile/accounts/AuthenticatedUserTask.<init>:(Landroid/content/Context;Ljava/util/concurrent/Executor;)V	1	1.00	4
com/github/mobile/accounts/AuthenticatedUserTask.call:()LResultT	16	15.00	2
com/github/mobile/accounts/GitHubAccount.<init>:(Landroid/accounts/Account;Landroid/accounts/AccountManager;)V	2	2.00	1
com/github/mobile/accounts/GitHubAccount.getAuthToken:()Ljava/lang/String	11	11.00	1
com/github/mobile/accounts/GitHubAccount.getPassword:()Ljava/lang/String	1	1.00	1
com/github/mobile/accounts/GitHubAccount.getUsername:()Ljava/lang/String	1	1.00	4
com/github/mobile/accounts/GitHubAccount.toString:()Ljava/lang/String	1	1.00	1
com/github/mobile/accounts/LoginActivity$AccountLoader.<init>:(Landroid/content/Context;)V	1	1.00	2
com/github/mobile/accounts/LoginActivity$AccountLoader.run:(Landroid/accounts/Account;)Ljava/util/List	1	1.00	1
com/github/mobile/accounts/LoginActivity.loginEnabled:()Z	1	1.00	3
com/github/mobile/accounts/LoginActivity.onCreateOptionsMenu:(Lcom/actionbarsherlock/view/Menu;)Z	3	3.00	1
com/github/mobile/accounts/LoginActivity.onOptionsItemSelected:(Lcom/actionbarsherlock/view/MenuItem;)Z	6	4.50	1
com/github/mobile/accounts/LoginActivity.getEmailAddresses:()Ljava/util/List	5	4.50	1
com/github/mobile/accounts/LoginActivity.configureSyncFor:(Landroid/accounts/Account;)V	4	4.00	2
com/github/mobile/accounts/LoginActivity.finishConfirmCredentials:(Z;)V	7	7.00	1
com/github/mobile/accounts/LoginActivity.finishLogin:(Ljava/lang/String;Ljava/lang/String;)V	8	7.50	2
com/github/mobile/accounts/LoginActivity.handleLogin:()V	46	45.50	3
com/github/mobile/accounts/LoginActivity$.onCancel:(Landroid/content/DialogInterface;)V	2	1.50	1
com/github/mobile/accounts/LoginActivity$.call:()Lorg/eclipse/egit/github/core/User	21	17.00	1
com/github/mobile/accounts/LoginActivity$.onException:(Ljava/lang/Exception;)V	3	3.00	1
com/github/mobile/accounts/LoginActivity$.onSuccess:(Lorg/eclipse/egit/github/core/User;)V	3	2.50	1
com/github/mobile/accounts/LoginActivity.handleLoginException:(Ljava/lang/Exception;)V	4	3.00	2
com/github/mobile/accounts/LoginActivity.onActivityResult:(I;I;Landroid/content/Intent;)V	10	4.75	1
com/github/mobile/accounts/LoginActivity.onAuthenticationResult:(Z;)V	10	5.00	3
com/github/mobile/accounts/LoginActivity.onCreate:(Landroid/os/Bundle;)V	53	51.50	1
com/github/mobile/accounts/LoginActivity$.afterTextChanged:(Landroid/text/Editable;)V	1	1.00	1
com/github/mobile/accounts/LoginActivity$.onKey:(Landroid/view/View;I;Landroid/view/KeyEvent;)Z	5	3.50	1
com/github/mobile/accounts/LoginActivity$.onEditorAction:(Landroid/widget/TextView;I;Landroid/view/KeyEvent;)Z	4	3.00	1
com/github/mobile/accounts/LoginActivity$.onCheckedChanged:(Landroid/widget/CompoundButton;Z;)V	9	7.50	1
com/github/mobile/accounts/LoginActivity.onResume:()V	9	5.13	1
com/github/mobile/accounts/LoginActivity.openTwoFactorAuthActivity:()V	2	2.00	1
com/github/mobile/accounts/LoginActivity.sendSmsOtpCode:(Lorg/eclipse/egit/github/core/service/OAuthService;)V	3	3.00	1
com/github/mobile/accounts/LoginActivity.startActivity:(Landroid/content/Intent;)V	3	2.50	1
com/github/mobile/accounts/LoginActivity.updateEnablement:()V	2	1.50	2
com/github/mobile/accounts/ScopeBase$.get:()Ljava/lang/Object	1	1.00	7
com/github/mobile/accounts/ScopeBase.scope:(Lcom/google/inject/Key;Lcom/google/inject/Provider;)Lcom/google/inject/Provider	9	9.00	1
com/github/mobile/accounts/ScopeBase$.get:()LT	7	6.00	7
com/github/mobile/accounts/ScopeBase.seededKeyProvider:()Lcom/google/inject/Provider	1	1.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.createIntent:(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent	4	4.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.loginEnabled:()Z	2	2.00	3
com/github/mobile/accounts/TwoFactorAuthActivity.onCreateOptionsMenu:(Lcom/actionbarsherlock/view/Menu;)Z	3	3.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.onOptionsItemSelected:(Lcom/actionbarsherlock/view/MenuItem;)Z	6	4.50	1
com/github/mobile/accounts/TwoFactorAuthActivity.handleLogin:()V	40	40.00	3
com/github/mobile/accounts/TwoFactorAuthActivity$.onCancel:(Landroid/content/DialogInterface;)V	2	1.50	1
com/github/mobile/accounts/TwoFactorAuthActivity$.call:()Lorg/eclipse/egit/github/core/User	16	16.00	1
com/github/mobile/accounts/TwoFactorAuthActivity$.onException:(Ljava/lang/Exception;)V	4	4.00	1
com/github/mobile/accounts/TwoFactorAuthActivity$.onSuccess:(Lorg/eclipse/egit/github/core/User;)V	3	3.00	1
com/github/mobile/accounts/TwoFactorAuthActivity.onCreate:(Landroid/os/Bundle;)V	31	31.00	1
com/github/mobile/accounts/TwoFactorAuthActivity$.afterTextChanged:(Landroid/text/Editable;)V	1	1.00	1
